"Province","Massa_Votes","Massa_Pct","Milei_Votes","Milei_Pct","Bullrich_Votes","Bullrich_Pct","Schiaretti_Votes","Schiaretti_Pct","Bregman_Votes","Bregman_Pct","Voter_Turnout_Votes","Voter_Turnout_Pct","Population_Est"
"Buenos Aires",4327441,42.95,2593075,25.73,2423384,24.05,373087,3.7,359538,3.57,10424914,78.61,13261562
"Buenos Aires City",616182,32.18,382488,19.98,789454,41.23,58788,3.07,67666,3.53,1963634,72.97,2691015
"Catamarca",104322,42.83,78017,32.03,41719,17.13,15677,6.44,3841,1.58,264192,77.42,341245
"Chaco",313941,43.67,200006,27.82,173253,24.1,26059,3.62,5637,0.78,730919,72.95,1001945
"Chubut",111752,32.22,121842,35.13,71343,20.57,26722,7.7,15187,4.38,357039,74.83,477134
"Córdoba",309044,13.42,773428,33.58,521310,22.63,667447,28.98,31922,1.39,2341103,75.73,3091381
"Corrientes",262170,37.21,189282,26.87,226371,32.13,19215,2.73,7464,1.06,722482,77.4,933439
"Entre Ríos",283136,33.31,252719,29.74,255236,30.03,45540,5.36,13248,1.56,899637,78.16,1151020
"Formosa",189593,52.31,105330,29.06,55738,15.38,8843,2.44,2954,0.81,369403,76.01,485993
"Jujuy",148103,32.36,170966,37.35,91373,19.96,31063,6.79,16193,3.54,468938,79.04,593292
"La Pampa",80611,34.86,77493,33.51,50640,21.9,17195,7.44,5292,2.29,235550,78.15,301408
"La Rioja",98739,41.14,90328,37.63,28314,11.8,20416,8.51,2219,0.92,245576,80.53,304950
"Mendoza",269326,24.01,475272,42.38,289533,25.82,48472,4.32,38932,3.47,1156534,75.84,1524966
"Misiones",277836,37.93,309077,42.19,105384,14.39,30036,4.1,10228,1.4,757594,76.07,995917
"Neuquén",135881,31.76,157187,36.74,87952,20.56,25438,5.95,21356,4.99,447264,80.33,556783
"Río Negro",168235,37.85,150079,33.76,80591,18.13,27782,6.25,17847,4.01,465057,77.54,599764
"Salta",304880,38,323105,40.27,110702,13.8,49587,6.18,14014,1.75,827707,75.49,1096446
"San Juan",155794,33.3,164117,35.08,108547,23.2,28879,6.17,10455,2.23,479592,78.43,611491
"San Luis",88235,27.33,139894,43.33,67517,20.91,20159,6.24,7055,2.19,332794,78.69,422918
"Santa Cruz",67336,37.79,64687,36.3,29234,16.41,11757,6.6,5161,2.9,193233,72.41,266860
"Santa Fe",607088,29.7,664607,32.52,549363,26.88,184337,9.02,38550,1.89,2088365,73.14,2855298
"Santiago del Estero",416597,65.77,144659,22.84,50749,8.01,13489,2.13,7912,1.25,646721,79.29,815640
"Tierra del Fuego",40889,38.2,36202,33.82,16043,14.99,9767,9.12,4137,3.86,110401,74.16,148869
"Tucumán",476361,44.93,371130,35,155273,14.64,42313,3.99,15253,1.44,1095271,82.65,1325192
